Target Distance: 100, Step Size: 2
0: (x,y) = (0,0)
1: (x,y) = (1.96325,-0.381618)
2: (x,y) = (3.91955,-0.797441)
3: (x,y) = (5.78671,-1.51418)
4: (x,y) = (7.76725,-1.79252)
5: (x,y) = (9.10551,-3.27881)
6: (x,y) = (9.03571,-1.28003)
7: (x,y) = (8.93104,-3.27729)
8: (x,y) = (7.01843,-3.86203)
9: (x,y) = (5.60421,-5.27625)
10: (x,y) = (4.04992,-6.53489)
11: (x,y) = (5.46414,-5.12067)
12: (x,y) = (6.85345,-3.682)
13: (x,y) = (8.29213,-2.29268)
14: (x,y) = (6.73784,-1.03404)
15: (x,y) = (8.67843,-0.550194)
16: (x,y) = (8.0604,1.35192)
17: (x,y) = (9.42439,2.81463)
18: (x,y) = (11.4049,3.09297)
19: (x,y) = (13.063,4.21136)
20: (x,y) = (12.3463,6.07852)
21: (x,y) = (12.9643,7.98063)
22: (x,y) = (11.0849,8.66467)
23: (x,y) = (9.08492,8.66467)
24: (x,y) = (9.83413,6.81031)
25: (x,y) = (11.6612,7.62378)
26: (x,y) = (10.2972,6.16107)
27: (x,y) = (8.41784,6.84511)
28: (x,y) = (7.96794,8.79385)
29: (x,y) = (5.96824,8.82876)
30: (x,y) = (6.81348,10.6414)
31: (x,y) = (7.84356,12.3557)
32: (x,y) = (5.88726,12.7715)
33: (x,y) = (7.09089,14.3688)
34: (x,y) = (8.64518,15.6274)
35: (x,y) = (10.3413,16.6873)
36: (x,y) = (9.28144,14.9912)
37: (x,y) = (11.2787,15.0959)
38: (x,y) = (12.2483,13.3466)
39: (x,y) = (12.766,15.2785)
40: (x,y) = (11.4277,13.7922)
41: (x,y) = (9.57333,14.5414)
42: (x,y) = (11.5539,14.263)
43: (x,y) = (9.87652,15.3523)
44: (x,y) = (10.4278,17.2748)
45: (x,y) = (12.4168,17.4839)
46: (x,y) = (10.5258,18.135)
47: (x,y) = (11.7014,19.7531)
48: (x,y) = (12.905,21.3503)
49: (x,y) = (14.4144,22.6625)
50: (x,y) = (15.9465,21.3769)
51: (x,y) = (14.024,21.9282)
52: (x,y) = (13.2425,23.7692)
53: (x,y) = (12.2125,25.4835)
54: (x,y) = (10.6152,24.2799)
55: (x,y) = (10.8589,22.2948)
56: (x,y) = (12.7715,22.8795)
57: (x,y) = (12.9806,24.8686)
58: (x,y) = (14.2392,23.3143)
59: (x,y) = (13.2392,25.0463)
60: (x,y) = (12.9955,23.0612)
61: (x,y) = (14.9361,23.5451)
62: (x,y) = (16.1674,25.1211)
63: (x,y) = (17.2567,23.4438)
64: (x,y) = (18.2567,21.7117)
65: (x,y) = (18.2218,23.7114)
66: (x,y) = (20.0344,22.8662)
67: (x,y) = (18.0356,22.936)
68: (x,y) = (19.6937,21.8176)
69: (x,y) = (18.0356,22.936)
